Id,MovieId,Title,Language,Duration,ReleaseYear
1,3,Elysium,AR,01:49:00,2013
2,3,ELYSIUM,EN,01:49:00,2013
8,3,Elysium,JA,01:49:00,2013
9,3,エリジウム,JA,01:49:00,2013
10,4,Django Unchained,EN,02:45:00,2012
11,4,Django Unchained,RU,02:45:00,2012
12,4,Django Unchained,AR,02:45:00,2012
13,5,Total Recall,AR,01:58:00,2012
14,5,توتال ريكول,AR,01:58:00,2012
15,5,Total Recall,HI,01:58:00,2012
16,5,TOTAL RECALL (2012),EN,01:58:00,2012
17,5,TOTAL RECALL (2012),EN,01:58:00,2012
18,5,TOTAL RECALL (2012),EN,01:58:00,2012
19,5,TOTAL RECALL (2012),EN,01:58:00,2012
20,5,TOTAL RECALL (2012),EN,01:58:00,2012
21,5,Total Recall,EN,01:58:00,2012
22,5,Total Recall,EN,01:58:00,2012
23,5,Total Recall,EN,01:58:00,2012
51,5,Вспомнить Всё,RU,01:58:00,2012
52,5,Total Recall,JA,01:58:00,2012
53,5,Total Recall,JA,01:58:00,2012
54,5,トータル・リコール,JA,01:58:00,2012
55,6,The Amazing Spider-Man,JA,02:16:00,2012
56,6,The Amazing Spider-Man,JA,02:16:00,2012 
91,6,The Amazing Spider-Man,HI,02:16:00,2012
92,6,The Amazing Spider-Man,HI,02:16:00,2012
151,7,マネーボール,JA,02:13:00,2011
